IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,InjurySeverityCde,KABCO_Code,KABCO,Environmental_Factors,Human_Factors,Vehicular_Factors
27632831,KSP0300,"KY STATE POLICE, POST 03",Accepted,BARREN,KY2195,,OLD LEXINGTON,RD,,,,,,,,37.13273007,-85.93631143,0.699,1/1/2021,1353,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - OPPOSITE DIRECTION,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,44200.64217,FALSE,694,Accepted,5,5,O,,FAILED TO KEEP PROPER LANE,
27635457,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,,,HAPPY VALLEY,RD,,US0031E,L ROGERS WELLS,,,,,37.00958402,-85.92140987,,1/4/2021,1750,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44201.29468,FALSE,2286,Accepted,5,5,O,,CELL PHONE,
27635458,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,,200,CLEVELAND,AVE,,,,,WILLOW,,LESLIE,36.99327678,-85.91971547,0.751,1/4/2021,2131,1,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44201.29473,FALSE,2286,Accepted,5,5,O,,OVERCORRECTING/OVERSTEERING,
27640155,0050000,BARREN COUNTY SHERIFF DEPT.,Accepted,BARREN,KY0063,,TOMPKINSVILLE,RD,,,,,,,,36.92191356,-85.86882404,8.764,1/3/2021,1031,1,1,0,0,CLEAR,DRY,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,,,44202.39664,FALSE,157,Accepted,5,5,O,,OTHER,
27640160,0050000,BARREN COUNTY SHERIFF DEPT.,Accepted,BARREN,,965,HOLLOW,RD,,,,,,,,36.97884268,-85.87425403,0.922,1/2/2021,2333,1,1,0,0,RAINING,WET,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY NOT LIGHTED,,,44202.3968,FALSE,181,Accepted,5,5,O,,NOT UNDER PROPER CONTROL,
27640161,0050000,BARREN COUNTY SHERIFF DEPT.,Accepted,BARREN,,1280,GREEN VALLEY,RD,,,,,,,,36.96402249,-85.87100482,1.427,1/2/2021,2333,1,1,0,0,RAINING,WET,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,44202.39685,FALSE,181,Accepted,5,5,O,,IMPROPER BACKING,
27640164,0050000,BARREN COUNTY SHERIFF DEPT.,Accepted,BARREN,KY2195,,OLD LEXINGTON,RD,,,CEMETERY,,,,,37.13164299,-85.94283195,0.31,1/2/2021,2218,1,1,0,0,RAINING,WET,FALSE,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,44202.39698,FALSE,181,Accepted,5,5,O,SLIPPERY SURFACE,,HEADLIGHTS DEFECTIVE
27640166,0050000,BARREN COUNTY SHERIFF DEPT.,Accepted,BARREN,KY0685,,BECKTON,RD,,,,,,,,37.00987919,-86.02557655,1.954,1/5/2021,533,1,1,0,0,CLOUDY,DRY,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/OFF,,,44202.39706,FALSE,157,Accepted,5,5,O,,,
27642444,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,US0031E,,L ROGERS WELLS,BLVD,N,,,,SMITH,,WALL,37.00703144,-85.92384325,14.558,1/3/2021,1415,2,2,0,3,CLOUDY,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44202.82482,FALSE,2240,Accepted,5,4,C,,INATTENTION,
27645566,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,,113,JOE MONTGOMERY,CT,,,,,,,,36.99378045,-85.92402653,0.126,1/3/2021,740,2,1,0,1,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,,,44203.64862,FALSE,2283,Accepted,5,2,A,IMPROPERLY PARKED VEHICLE(S),,
